1.148698,-0.87267,-3.652767,1.16E+06
1.174323,-0.884328,-3.696453,1.24E+06
1.336929,-1.011133,-3.975088,1.51E+06
1.157288,-0.872475,-3.649508,1.22E+06
1.288387,-0.975788,-3.866277,1.40E+06
0.642548,-0.394303,-2.5,8.81E+05
0.63432,-0.401607,-2.5,9.10E+05
0.641799,-0.383299,-2.5,9.04E+05
0.648282,-0.389401,-2.5,9.16E+05
0.637702,-0.409437,-2.5,9.12E+05
0.606434,-0.404436,-3.030262,3.06E+05
0.627423,-0.403902,-2.95729,3.16E+05
0.689507,-0.446354,-2.646337,2.60E+05
0.629078,-0.370107,-2.898607,3.27E+05
0.63562,-0.377387,-2.870604,3.19E+05
0.559685,-0.304435,-2.835529,1.61E+05
0.581925,-0.310919,-2.808151,1.57E+05
0.580007,-0.319061,-2.830963,1.60E+05
0.577187,-0.33963,-2.785428,1.53E+05
0.597135,-0.311042,-2.813791,1.59E+05
0.631436,-0.386978,-2.740119,7.62E+04
0.635901,-0.431915,-2.733275,7.66E+04
0.649987,-0.324048,-2.865449,8.45E+04
0.651838,-0.309049,-2.854762,8.24E+04
0.702468,-0.353947,-2.728233,7.88E+04
0.818826,-0.210865,-2.817143,2.36E+04
0.820593,-0.454012,-2.5,1.81E+04
0.754148,-0.442131,-2.52147,1.81E+04
0.771458,-0.3174,-2.718704,2.13E+04
0.837304,-0.151044,-2.75637,2.22E+04
0.944247,-0.067326,-2.511022,1.06E+04
0.88588,-0.438621,-2.5,9.89E+03
0.227595,-0.425372,-2.5,7.18E+03
-0.527064,-0.320183,-2.5,7.17E+03
0.806562,-0.462083,-2.5,9.39E+03
1.114472,-0.3169,-2.5,4.26E+03
1.002488,-0.117542,-2.5,4.79E+03
1.114721,-0.402794,-2.5,5.58E+03
1.17294,-0.508257,-2.5,5.14E+03
1.112923,-0.357194,-2.5,5.57E+03
1.094575,-0.22381,-2.5,4.23E+03
1.334437,0.429522,-2.5,6.57E+03
0.324545,-0.183866,-3.47865,0.00E+00
1.19349,-0.277771,-2.5,4.32E+03
1.366814,-0.442548,-2.5,3.75E+03
4.222914,-0.561315,-4.534297,7.22E+04
5,-0.475056,-5.054955,1.77E+05
5,1.198161,-5.63529,2.64E+05
1.466662,0.526125,-2.5,3.52E+03
1.514759,0.074044,-2.5,2.61E+03
0.692511,-0.545725,-2.5,1.64E+04
0.643402,-0.246413,-3.20025,3.09E+04
0.700756,-0.352745,-2.5,1.63E+04
0.734761,-0.219426,-2.652627,1.95E+04
0.56374,-0.320921,-2.556159,1.94E+04
3.063375,-2.954287,-4.112013,4.82E+05
0.70947,-1.231394,-2.5,1.81E+04
1.020329,-1.086561,-2.777233,2.26E+04
0.929668,-1.664371,-2.5,1.49E+04
0.880912,-1.174752,-2.669548,1.83E+04
1.24738,-0.088203,-2.929495,2.13E+04
1.606335,0.078351,-2.633376,2.12E+04
1.477668,0.087199,-2.547512,1.89E+04
1.560103,0.086352,-2.5,1.78E+04
1.850657,-0.715096,-2.5,1.17E+04
0.110383,0.425409,-2.5,1.73E+04
0.143431,0.622725,-2.518998,1.53E+04
0.169888,0.401384,-2.711671,2.00E+04
0.089449,0.481649,-2.5,1.71E+04
0.11605,0.455709,-2.5,1.67E+04
-0.367172,-0.689862,-2.5,1.35E+04
-0.234288,-0.633753,-2.5,1.36E+04
-0.632588,-0.935997,-2.5,1.27E+04
-0.389476,-0.627923,-2.5,1.36E+04
