1.148698,-0.87267,-3.652767
1.174323,-0.884328,-3.696453
1.336929,-1.011133,-3.975088
1.157288,-0.872475,-3.649508
1.288387,-0.975788,-3.866277
0.642548,-0.394303,-2.5
0.63432,-0.401607,-2.5
0.641799,-0.383299,-2.5
0.648282,-0.389401,-2.5
0.637702,-0.409437,-2.5
0.606434,-0.404436,-3.030262
0.627423,-0.403902,-2.95729
0.689507,-0.446354,-2.646337
0.629078,-0.370107,-2.898607
0.63562,-0.377387,-2.870604
0.559685,-0.304435,-2.835529
0.581925,-0.310919,-2.808151
0.580007,-0.319061,-2.830963
0.577187,-0.33963,-2.785428
0.597135,-0.311042,-2.813791
0.631436,-0.386978,-2.740119
0.635901,-0.431915,-2.733275
0.649987,-0.324048,-2.865449
0.651838,-0.309049,-2.854762
0.702468,-0.353947,-2.728233
0.818826,-0.210865,-2.817143
0.820593,-0.454012,-2.5
0.754148,-0.442131,-2.52147
0.771458,-0.3174,-2.718704
0.837304,-0.151044,-2.75637
0.944247,-0.067326,-2.511022
0.88588,-0.438621,-2.5
0.227595,-0.425372,-2.5
-0.527064,-0.320183,-2.5
0.806562,-0.462083,-2.5
1.114472,-0.3169,-2.5
1.002488,-0.117542,-2.5
1.114721,-0.402794,-2.5
1.17294,-0.508257,-2.5
1.112923,-0.357194,-2.5
1.094575,-0.22381,-2.5
1.334437,0.429522,-2.5
0.324545,-0.183866,-3.47865
1.19349,-0.277771,-2.5
1.366814,-0.442548,-2.5
4.222914,-0.561315,-4.534297
5,-0.475056,-5.054955
5,1.198161,-5.63529
1.466662,0.526125,-2.5
1.514759,0.074044,-2.5
0.692511,-0.545725,-2.5
0.643402,-0.246413,-3.20025
0.700756,-0.352745,-2.5
0.734761,-0.219426,-2.652627
0.56374,-0.320921,-2.556159
3.063375,-2.954287,-4.112013
0.70947,-1.231394,-2.5
1.020329,-1.086561,-2.777233
0.929668,-1.664371,-2.5
0.880912,-1.174752,-2.669548
1.24738,-0.088203,-2.929495
1.606335,0.078351,-2.633376
1.477668,0.087199,-2.547512
1.560103,0.086352,-2.5
1.850657,-0.715096,-2.5
0.110383,0.425409,-2.5
0.143431,0.622725,-2.518998
0.169888,0.401384,-2.711671
0.089449,0.481649,-2.5
0.11605,0.455709,-2.5
-0.367172,-0.689862,-2.5
-0.234288,-0.633753,-2.5
-0.632588,-0.935997,-2.5
-0.389476,-0.627923,-2.5
-0.576799,-0.633426,-2.5
5,-0.488681,-5.484477
1.703366,-0.54259,-2.740763
5,-2.795575,-6.028242
3.101403,-1.500999,-3.094216
1.912179,-0.362751,-2.61562
2.819933,-1.664696,-3.407196
-2.90252,-3.093158,-2.5
1.5178,-1.187772,-2.5
